Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-23 00:00:00-05:00,114.06915102717399,114.49747245412723,110.73020904206231,110.82755279541016,127959300,0.0,0.0
2020-11-24 00:00:00-05:00,110.88595846342133,112.77445093316165,109.6009942581799,112.11250305175781,113874200,0.0,0.0
2020-11-25 00:00:00-05:00,112.48241594054053,113.6505557267342,112.11249931432629,112.94966888427734,76499200,0.0,0.0
2020-11-27 00:00:00-05:00,113.47533860340312,114.3709129708123,113.1346317708944,113.49480438232422,46691300,0.0,0.0
2020-11-30 00:00:00-05:00,113.8646983510073,117.75850692287057,113.70894244324455,115.88948059082031,169410200,0.0,0.0
2020-12-01 00:00:00-05:00,117.79745659658983,120.19214819451732,116.82400436522819,119.4620590209961,127728200,0.0,0.0
2020-12-02 00:00:00-05:00,118.78064316901394,120.0948096799896,117.68064477339988,119.81250762939453,89004200,0.0,0.0
2020-12-03 00:00:00-05:00,120.24083575457,120.49393545508784,118.9656155022822,119.67623901367188,78967600,0.0,0.0
2020-12-04 00:00:00-05:00,119.34526925110535,119.59836896840133,118.29393881943233,119.00456237792969,78260400,0.0,0.0
2020-12-07 00:00:00-05:00,119.06294045566084,121.2629445857138,119.00453569816821,120.46471405029297,86712000,0.0,0.0
2020-12-08 00:00:00-05:00,121.06827375333532,121.66208029231422,119.82224848300353,121.0780029296875,82225500,0.0,0.0
2020-12-09 00:00:00-05:00,121.2239981813297,122.60629848757797,117.78771319139744,118.54700469970703,115089200,0.0,0.0
2020-12-10 00:00:00-05:00,117.30099698433379,120.58153376453309,116.96029017970807,119.96825408935547,81312200,0.0,0.0
2020-12-11 00:00:00-05:00,119.17976698694284,119.50100803270227,117.34967931202699,119.1603012084961,86939800,0.0,0.0
2020-12-14 00:00:00-05:00,119.34523518624412,120.07532431759577,118.31337825719271,118.54700469970703,79184500,0.0,0.0
2020-12-15 00:00:00-05:00,121.03905488619017,124.50455010924838,120.83463079530905,124.48507690429688,157243700,0.0,0.0
2020-12-16 00:00:00-05:00,124.0275714003019,124.96207736777791,123.20013093515553,124.41694641113281,98208600,0.0,0.0
2020-12-17 00:00:00-05:00,125.47800506998152,126.13996040824293,124.64083543417424,125.28331756591797,94359800,0.0,0.0
2020-12-18 00:00:00-05:00,125.53641332100761,125.67269604688084,122.7718049671832,123.29747009277344,192541500,0.0,0.0
2020-12-21 00:00:00-05:00,121.70099438309586,124.90365310723669,120.17267468087437,124.82577514648438,121251600,0.0,0.0
2020-12-22 00:00:00-05:00,128.11605471749206,130.84172406271304,126.20808171972651,128.37889099121094,168904800,0.0,0.0
2020-12-23 00:00:00-05:00,128.65149275201784,128.91431424621467,127.30812347796113,127.48335266113281,88223700,0.0,0.0
