Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500
2020-11-23 00:00:00-05:00,202.41489655187553,203.70067623444444,199.73778723420364,201.60888671875,25683500,0.0,0.0,3577.590087890625
2020-11-24 00:00:00-05:00,201.10992980573758,205.58138849058068,200.40946989787446,205.20716857910156,33979700,0.0,0.0,3635.409912109375
2020-11-25 00:00:00-05:00,206.40660094564046,206.5793110767255,203.86382640634406,205.21676635742188,21012900,0.0,0.0,3629.64990234375
2020-11-27 00:00:00-05:00,206.15711338051779,207.51965801723676,205.37987391349907,206.521728515625,14512200,0.0,0.0,3638.35009765625
2020-11-30 00:00:00-05:00,205.43747642885162,206.07076156750256,202.30936731959918,205.40869140625,33064800,0.0,0.0,3621.6298828125
2020-12-01 00:00:00-05:00,205.83086786900017,208.52718688320113,204.71781287908087,207.46209716796875,30904500,0.0,0.0,3662.449951171875
2020-12-02 00:00:00-05:00,206.1859017974964,206.75202672406434,204.1900574028058,206.65606689453125,23724500,0.0,0.0,3669.010009765625
2020-12-03 00:00:00-05:00,205.92680232460575,207.6251915836904,205.00563782977983,205.57177734375,25120900,0.0,0.0,3666.719970703125
2020-12-04 00:00:00-05:00,205.5526461958313,206.66571603517735,204.55471646351504,205.68698120117188,24666000,0.0,0.0,3699.1201171875
2020-12-07 00:00:00-05:00,205.69656170116207,206.81922161640415,204.3724066080497,205.6197967529297,24620000,0.0,0.0,3691.9599609375
2020-12-08 00:00:00-05:00,205.31271750920934,208.17214180932788,204.27641284227593,207.27017211914062,23284100,0.0,0.0,3702.25
2020-12-09 00:00:00-05:00,206.45456855380638,206.5217287203082,202.66438960856496,203.2305145263672,32440600,0.0,0.0,3672.820068359375
2020-12-10 00:00:00-05:00,203.20174406539516,204.45873883924034,201.84878945662726,202.0023193359375,26733300,0.0,0.0,3668.10009765625
2020-12-11 00:00:00-05:00,201.5513549081159,204.68905441820556,200.64938507745762,204.6314697265625,30979400,0.0,0.0,3663.4599609375
2020-12-14 00:00:00-05:00,204.47790142019682,207.46207026114612,204.26680152985986,205.53338623046875,28798400,0.0,0.0,3647.489990234375
2020-12-15 00:00:00-05:00,206.46419310374057,206.70407807244058,203.6527482984566,205.46627807617188,27000600,0.0,0.0,3694.6201171875
