,RF,XGB,GBR,EXTRATREES
log_ret_lag_1,0.0629733195654698,0.027647002,0.07572904415280805,0.04030461908197878
log_ret_lag_2,0.008894134791683968,0.014878791,0.00998851333812498,0.006691407894518319
log_ret_lag_3,0.004288345601328385,0.017351294,0.0052749033260080635,0.006036644096516644
log_ret_lag_5,0.00657846747630636,0.009953578,0.0044978683668372415,0.00446985611221327
log_ret_lag_7,0.004374549389888214,0.0073040263,0.0019399679287203464,0.00704757524232561
log_ret_lag_10,0.004523068168854641,0.0071512507,0.00216092567054425,0.0033325430165687753
log_ret_lag_14,0.00884882670526073,0.010826722,0.004832513310083992,0.006061133992476314
log_ret_lag_15,0.003937576936603034,0.0083145695,0.004501156671725015,0.002711932738682995
log_ret_lag_20,0.005550840176726596,0.01315997,0.0021322806829198768,0.0030915267557304997
log_ret_lag_21,0.0030248969857484954,0.004454979,0.0006133811444759171,0.00241363692015155
log_ret_lag_30,0.004606823493085271,0.007820858,0.0021022362125556857,0.0034399986282904133
volume,0.037061870209802256,0.03616625,0.048080069083635636,0.038739392383803084
volume_lag_1,0.006845496405765978,0.018799806,0.005745081197120394,0.004880723473473502
volume_lag_2,0.0030285448737943565,0.009682828,0.0019767877486366187,0.0020226955826561886
volume_lag_5,0.004421889488387753,0.0077135176,0.004096184729200172,0.002449841438334387
rolling_skew_20,0.009216297470889432,0.022551458,0.020701110170170484,0.0158576172747949
rolling_kurt_20,0.011247973256756078,0.01707407,0.008546259917187634,0.022855500428874322
sma_5,0.0017372772483329362,0.011661408,0.0009690264881138583,0.0014609499828643333
sma_20,0.0018722792942844574,0.019607613,0.004893264140839837,0.0017813918886654494
rsi_14,0.004905115410608739,0.016795479,0.0059244672957263125,0.004690282597917709
macd,0.0018361984906595235,0.014683718,0.0016226386349288266,0.003039450935980713
macd_signal,0.0024957898838150446,0.0044246865,0.0011646597517371835,0.0018369050836535247
bb_upper,0.0030941168858779,0.004360488,0.0004969863143073056,0.0015618875437869732
bb_lower,0.0030788551492586884,0.009402642,0.0037513000412279346,0.0018406257025782166
bb_middle,0.0012918512829651467,0.0062971953,0.0039421976407736925,0.0016546073912879547
stoch_k,0.4284485522684623,0.11464133,0.4214375330952201,0.3824862678111739
stoch_d,0.14131873770696285,0.05242951,0.1836074020891745,0.19243404420938265
volatility,0.1177069482776112,0.050065015,0.09580767057960407,0.056626353221911514
atr_14,0.004388405510329169,0.010179338,0.002309015257149564,0.003317376850510122
cci_20,0.010378279598518161,0.022403004,0.0057504251276078505,0.022155112491879687
momentum_5,0.008011329098820219,0.045967303,0.015834767550692644,0.031921019618634965
momentum_10,0.006403358353582941,0.022813197,0.011228262977636634,0.013005748027866441
volume_ma_5,0.0027469653118283987,0.011860633,0.000759466833066928,0.0027102256092098203
volume_ma_20,0.0029313616289595697,0.00449723,0.0012411419236979602,0.0019950053890891353
day_of_week,0.0009449084410245812,0.00208356,0.0011245639300301814,0.002480143204514858
month,0.0021088175208060726,0.007867185,0.0006122959629564278,0.0025101712585460668
vix_close,0.0030699776103901783,0.010084396,0.0020221364101383706,0.003410404310425633
vix_change,0.004191730513343499,0.0136314295,0.0013943160830060496,0.0036148441869550277
vix_change_lag_1,0.00433762040613812,0.0073316386,0.0013501138364991493,0.00512016674915977
vix_change_lag_2,0.003153565104384072,0.007967119,0.0021882544873463973,0.002364784861846833
vix_change_lag_3,0.0036275261287233734,0.009822483,0.00304810135717045,0.0026760482228468776
qqq_change,0.0034481157831978237,0.0074385162,0.0035145653677421053,0.0043080765904529
qqq_change_lag_1,0.004788090955509053,0.009485566,0.001880523275654156,0.005259077233353035
qqq_change_lag_2,0.0026047534957597414,0.013343503,0.0013460193770481407,0.003701412596246796
qqq_change_lag_3,0.005462972815611007,0.01552567,0.002543961919036147,0.0028085551612047114
snp500_change,0.005923417055979092,0.02180707,0.006160546838111724,0.007785371263975761
snp500_change_lag_1,0.0033711453985865326,0.012669529,0.000788581401237757,0.004605313322452544
snp500_change_lag_2,0.002758552314072788,0.009831236,0.0011701306439572546,0.004412001582090577
snp500_change_lag_3,0.004033254107809746,0.01864036,0.0012402780332410035,0.002586779632072647
iphone_search,0.0007430814845035558,0.0062926454,8.643052018450381e-05,0.0011551246082155892
trump_search,0.0008165008332496903,0.0017885319,0.0005435440014366147,0.001249770060584855
stock_search,0.0005275917386429202,0.0030146095,0.00017238992295578708,0.0018362099988403714
tariffs_news,0.0006606100567761221,0.0022073775,5.17373238705464e-07,0.0040223345380493245
earnings_news,0.0008016837752131001,0.009458701,0.0007226388561153866,0.0032621375539794036
ai_news,0.0005375752241934666,0.010330559,0.00020645627270106883,0.00270642804248712
iphone_search_lag_3,0.0008011275401192366,0.003938686,0.00022614906971998562,0.0013618964341728633
ai_search_lag_1,0.0005858916599098698,0.04343335,6.572995917625082e-05,0.000955292134916035
ai_search_lag_2,0.0004980771725325092,0.0046167825,0.0003255770768713055,0.000927974025230631
election_search_lag_1,0.0009716654960742016,0.00732577,0.00021598965111722926,0.0014812041904497268
election_search_lag_3,0.000792022369500509,0.003937157,0.0001735823315927473,0.0022589051023617314
trump_search_lag_1,0.0004533378827641528,0.017167227,0.0001602555958852024,0.00255614621310959
trump_search_lag_2,0.0008283552112390365,0.0057745352,0.00036523428129476226,0.004979349046163736
trump_search_lag_3,0.0005792509110235042,0.0,0.0002191998920161063,0.0019275170746040078
stock_search_lag_1,0.0003164368097814204,0.01096102,0.00011405751412722567,0.0018266796124630767
stock_search_lag_2,0.00037241693706189843,0.005945749,0.00031063750471785627,0.0014185226039011498
