iter	RMSE
0	0.009257052911
1	0.009234887956
2	0.009214719192
3	0.009200257277
4	0.009186572742
5	0.009167449407
6	0.009156392307
7	0.009146119725
8	0.00913865715
9	0.009125150753
10	0.009103370102
11	0.009092714833
12	0.00907118764
13	0.009052834269
14	0.009034654257
15	0.009017871749
16	0.009001750061
17	0.008986330069
18	0.008971530813
19	0.008962376468
20	0.008947002581
21	0.008938682732
22	0.008919888929
23	0.008911804823
24	0.008896595196
25	0.008888013996
26	0.008873897338
27	0.008857630091
28	0.008839936997
29	0.008830334444
30	0.008822945228
31	0.00880615182
32	0.008801993965
33	0.008787670633
34	0.008777506176
35	0.008760507894
36	0.008746686793
37	0.008730882363
38	0.008720822881
39	0.008711290484
40	0.008703970665
41	0.008685795442
42	0.008673095101
43	0.008666609543
44	0.008647327771
45	0.008634888036
46	0.008619226475
47	0.008613197589
48	0.008602186268
49	0.008590576275
50	0.008577769892
51	0.008568789779
52	0.008552883226
53	0.008545394412
54	0.008533020942
55	0.008524178918
56	0.008514922993
57	0.008499889235
58	0.008489332254
59	0.0084771969
60	0.00846577568
61	0.00845248665
62	0.008447027577
63	0.008436246469
64	0.008423968925
65	0.008415548276
66	0.008401405619
67	0.008392745191
68	0.008382639136
69	0.008370402418
70	0.008361776768
71	0.008356980949
72	0.008350524471
73	0.008333336811
74	0.008324361088
75	0.008312252447
76	0.008301695037
77	0.008285696451
78	0.008273520753
79	0.008265508648
80	0.008258080392
81	0.008246522389
82	0.008236912999
83	0.008228974099
84	0.008223423034
85	0.008214215865
86	0.008206931125
87	0.008193290258
88	0.008181187713
89	0.00817600412
90	0.008165436208
91	0.008155234665
92	0.008146185074
93	0.008137693615
94	0.008129156557
95	0.008117286145
96	0.008105714228
97	0.008094551438
98	0.008085490882
99	0.008074493622
