Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500
2016-02-18 00:00:00-05:00,46.149694510833115,46.69646998001616,45.94685513977365,46.02622604370117,27176000,0.0,0.0,1917.8299560546875
2016-02-19 00:00:00-05:00,45.8321989516997,46.105584932963644,45.44416202731858,45.699913024902344,33559100,0.0,0.0,1917.780029296875
2016-02-22 00:00:00-05:00,46.10559177232447,46.74055893247022,46.10559177232447,46.4318962097168,25008300,0.0,0.0,1945.5
2016-02-23 00:00:00-05:00,46.1585025446535,46.184958385816564,44.95912173741942,45.135501861572266,28895300,0.0,0.0,1921.27001953125
2016-02-24 00:00:00-05:00,44.703377487617075,45.41771558461275,44.27124965045684,45.29425048828125,33014500,0.0,0.0,1929.800048828125
2016-02-25 00:00:00-05:00,45.62055253851472,45.94685363769531,44.63282838295173,45.94685363769531,26939500,0.0,0.0,1951.699951171875
2016-02-26 00:00:00-05:00,46.38779888049169,46.458352282710166,45.064952866437686,45.2413330078125,35975900,0.0,0.0,1948.050048828125
2016-02-29 00:00:00-05:00,45.28543065716657,45.5500025715,44.6769226553773,44.870941162109375,31654000,0.0,0.0,1932.22998046875
2016-03-01 00:00:00-05:00,44.95031512811481,46.37898808772721,44.906217563271746,46.37017059326172,33024500,0.0,0.0,1978.3499755859375
2016-03-02 00:00:00-05:00,46.22023539470889,46.705278216267,45.999761079076016,46.69646072387695,29289900,0.0,0.0,1986.449951171875
2016-03-03 00:00:00-05:00,46.714118274677496,46.714118274677496,45.66465794781461,46.16733932495117,24427800,0.0,0.0,1993.4000244140625
2016-03-04 00:00:00-05:00,46.21142100842083,46.25551520167698,45.6029097033035,45.88511657714844,33034200,0.0,0.0,1999.989990234375
2016-03-07 00:00:00-05:00,45.47063133063046,45.6822848235114,44.60637227899478,45.00322341918945,38407800,0.0,0.0,2001.760009765625
2016-03-08 00:00:00-05:00,44.80038447494332,45.97330955916575,44.62400433302331,45.54999923706055,33835100,0.0,0.0,1979.260009765625
2016-03-09 00:00:00-05:00,45.76164987346218,46.60827046508327,45.73519403127752,46.59945297241211,28251600,0.0,0.0,1989.260009765625
2016-03-10 00:00:00-05:00,46.678837973734026,46.687655469070634,45.117878893722335,45.902767181396484,38387800,0.0,0.0,1989.5699462890625
2016-03-11 00:00:00-05:00,46.74057075404497,46.802303314208984,46.193795207947005,46.802303314208984,32275700,0.0,0.0,2022.18994140625
2016-03-14 00:00:00-04:00,46.48481185343382,47.26088251920258,46.41426180973029,46.89048385620117,24083600,0.0,0.0,2019.6400146484375
2016-03-15 00:00:00-04:00,46.52007809202781,47.26087188720703,46.511260600112855,47.26087188720703,21104800,0.0,0.0,2015.9300537109375
2016-03-16 00:00:00-04:00,47.13741619325519,48.15159617378844,47.093321996566196,47.931121826171875,31691700,0.0,0.0,2027.219970703125
