month,war_news,unemployment_news,tariffs_news,earnings_news,ai_news
2024-09-08,6,1,0,1,11
2024-09-15,7,1,0,1,11
2024-09-22,7,0,0,1,11
2024-09-29,11,1,0,1,10
2024-10-06,8,0,0,1,10
2024-10-13,7,0,0,2,11
2024-10-20,8,0,0,3,13
2024-10-27,6,0,0,5,10
2024-11-03,8,0,1,3,9
2024-11-10,6,0,1,3,11
2024-11-17,10,0,1,3,11
2024-11-24,9,0,2,1,10
2024-12-01,7,1,1,1,11
2024-12-08,7,0,1,1,13
2024-12-15,7,0,1,1,12
2024-12-22,7,0,0,0,9
2024-12-29,6,0,0,1,9
2025-01-05,5,0,1,1,12
2025-01-12,6,0,1,1,13
2025-01-19,6,0,2,2,14
2025-01-26,6,0,7,4,17
2025-02-02,7,1,14,5,16
2025-02-09,6,1,6,3,17
2025-02-16,6,1,3,2,15
2025-02-23,6,0,4,4,14
2025-03-02,9,1,15,2,14
2025-03-09,7,1,10,1,14
2025-03-16,7,0,4,1,14
2025-03-23,8,0,7,1,15
2025-03-30,8,1,26,1,20
2025-04-06,8,1,32,1,15
2025-04-13,6,0,13,2,14
2025-04-20,8,0,9,3,14
2025-04-27,10,1,9,4,14
2025-05-04,43,0,7,3,13
2025-05-11,12,0,6,2,15
2025-05-18,6,0,4,1,16
2025-05-25,6,0,5,2,15
2025-06-01,7,1,4,1,15
2025-06-08,10,0,3,1,17
2025-06-15,19,0,2,1,15
2025-06-22,20,0,3,1,15
2025-06-29,6,0,3,1,15
2025-07-06,5,1,6,1,16
2025-07-13,5,1,4,2,17
2025-07-20,7,0,4,4,15
2025-07-27,7,0,6,4,15
2025-08-03,13,1,9,13,28
2025-08-10,12,1,5,7,28
2025-08-17,7,0,2,1,16
2025-08-24,6,1,3,3,16
2025-08-31,6,1,3,1,17
2025-09-07,6,1,2,1,17
2025-09-14,6,1,2,1,29
2025-09-21,7,0,2,1,20
2025-09-28,7,0,2,1,18
2025-10-05,7,1,2,1,21
2025-10-12,7,1,2,2,21
2025-10-19,5,0,2,3,21
2025-10-26,7,1,2,5,20
2025-11-02,6,1,2,5,19
2025-11-09,6,1,2,3,19
2025-11-16,6,1,2,4,21
2025-11-23,5,0,1,1,16
2025-11-30,7,1,1,1,18
2025-12-07,7,1,1,1,20
2025-12-14,7,1,1,1,17
2025-12-21,6,0,1,1,15
2025-12-28,9,0,1,1,13
2026-01-04,8,1,2,1,15
2026-01-11,7,10,2,12,23
2026-01-18,7,31,2,34,49
2026-01-25,12,54,3,70,76
2026-02-01,19,64,7,85,100
2026-02-08,20,32,7,45,68
2026-02-15,18,36,5,45,69
