Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500,vix_close,qqq_close,close,log_ret,rv_5,snp500_change,vix_change,qqq_change,earnings_week
2021-04-12 04:00:00+00:00,80.00193241116705,80.80079974269918,79.94428251525068,80.4137191772461,3784600,0.0,0.0,4127.990234375,,326.7147216796875,80.4137191772461,0.0010246246834802945,0.0533152563771712,-0.00019607884876882142,0.0,-0.0013052506674576803,0
2021-04-13 04:00:00+00:00,79.98547231326965,81.41025115855258,79.73016021813403,81.12200164794922,3661300,0.0,0.0,4141.58984375,,330.52850341796875,81.12200164794922,0.00876941652467454,0.06705190596224397,0.0032944868090414303,0.0,0.011673124855452022,0
2021-04-14 04:00:00+00:00,80.9490454370483,81.4431883131434,80.73491455350565,81.36083221435547,3604100,0.0,0.0,4124.66015625,,326.5594177246094,81.36083221435547,0.0029397657922542965,0.0673424362029537,-0.004087726727828533,0.0,-0.0120083008040619,0
2021-04-15 04:00:00+00:00,81.40201137971394,82.26676617063615,81.31965527661846,82.1514663696289,3271600,0.0,0.0,4170.419921875,,331.50860595703125,82.1514663696289,0.009670713750151865,0.07429166873576253,0.01109419052516647,0.0,0.015155551987771965,0
2021-04-16 04:00:00+00:00,82.23381909885762,83.28799225531229,82.15146299914105,82.90914916992188,3820900,0.0,0.0,4185.47021484375,,331.8968811035156,82.90914916992188,0.009180725754949317,0.06393191506553189,0.0036088195555097347,0.0,0.0011712370041299103,0
2021-04-19 04:00:00+00:00,82.91738992929659,82.9750398297046,82.07734762572736,82.5220718383789,3491600,0.0,0.0,4163.259765625,,328.859375,82.5220718383789,-0.004679624989331535,0.09762725849752066,-0.005306560094486046,0.0,-0.009151957359214369,0
2021-04-20 04:00:00+00:00,82.56324454491916,83.86449220136593,82.40676356702434,83.51859283447266,3171600,0.0,0.0,4134.93994140625,,326.4623718261719,83.51859283447266,0.012003480752365462,0.10734258903626903,-0.006802319771775922,0.0,-0.007288839412980419,0
2021-04-21 04:00:00+00:00,83.48565654091875,83.71625613929001,82.82679515982846,83.25505065917969,3741900,0.0,0.0,4173.419921875,,329.2572937011719,83.25505065917969,-0.003160480147114342,0.12495646919072483,0.009306055472153574,0.0,0.008561237423369006,0
2021-04-22 04:00:00+00:00,83.35387649157107,83.35387649157107,82.3902969663086,82.4232406616211,3866800,0.0,0.0,4134.97998046875,,325.28814697265625,82.4232406616211,-0.010041351587004156,0.15036936650182622,-0.009210657476561801,0.0,-0.012054848303885923,0
2021-04-23 04:00:00+00:00,82.43147394768162,82.73619842446634,81.8961561646404,82.23381805419922,2849400,0.0,0.0,4180.169921875,,329.38348388671875,82.23381805419922,-0.002300814704965135,0.1301116736504863,0.010928696540176919,0.0,0.012589874399594247,0
