Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500,vix_close,qqq_close
2021-04-05 04:00:00+00:00,106.47746082606572,110.53592048261828,106.38125583923181,110.03852844238281,48510000,0.0,0.0,4077.909912109375,,321.2608337402344
2021-04-06 04:00:00+00:00,109.63982255502079,110.48682596318324,109.18706739203486,109.55750274658203,35240000,0.0,0.0,4073.93994140625,,321.0376892089844
2021-04-07 04:00:00+00:00,109.74794750975937,111.30507774335658,109.74794750975937,111.03382110595703,24134000,0.0,0.0,4079.949951171875,,321.81402587890625
2021-04-08 04:00:00+00:00,112.27207187647824,112.658382510487,111.23117534122576,111.59913635253906,28664000,0.0,0.0,4097.169921875,,325.1717834472656
2021-04-09 04:00:00+00:00,111.35168748380296,112.76649260885407,110.94603596033518,112.60284423828125,26146000,0.0,0.0,4128.7998046875,,327.1416320800781
2021-04-12 04:00:00+00:00,111.78213236335719,111.91949348539603,110.47790920494737,111.31102752685547,25024000,0.0,0.0,4127.990234375,,326.7147521972656
2021-04-13 04:00:00+00:00,111.62691342728266,112.24579894520419,111.23316455138779,111.79750061035156,25682000,0.0,0.0,4141.58984375,,330.5285339355469
2021-04-14 04:00:00+00:00,112.44216174007808,112.44216174007808,110.88453990540746,111.17662048339844,21002000,0.0,0.0,4124.66015625,,326.5595397949219
2021-04-15 04:00:00+00:00,112.1704155210859,113.8589591031954,111.63583238423234,113.32585906982422,29174000,0.0,0.0,4170.419921875,,331.50860595703125
2021-04-16 04:00:00+00:00,113.5237224246354,113.77167310788025,112.61523075801729,113.2018814086914,26282000,0.0,0.0,4185.47021484375,,331.8968505859375
2021-04-19 04:00:00+00:00,112.5785359848576,114.26013311386431,112.5785359848576,113.54950714111328,30290000,0.0,0.0,4163.259765625,,328.8593444824219
2021-04-20 04:00:00+00:00,113.9328401922627,114.00772178331093,111.93089265988128,113.01641845703125,22288000,0.0,0.0,4134.93994140625,,326.46246337890625
2021-04-21 04:00:00+00:00,112.67127568827584,113.06551638343237,111.32093263815867,112.98369598388672,23204000,0.0,0.0,4173.419921875,,329.2572326660156
2021-04-22 04:00:00+00:00,112.83738588276698,113.50586445062164,111.09776618737759,111.70276641845703,24146000,0.0,0.0,4134.97998046875,,325.2882080078125
2021-04-23 04:00:00+00:00,112.42083028712631,114.3607975663134,112.13568853501279,114.0538330078125,29066000,0.0,0.0,4180.169921875,,329.3834533691406
2021-04-26 04:00:00+00:00,114.28146844023216,115.27377066190553,113.92441882355446,114.54975128173828,32038000,0.0,0.0,4187.6201171875,,331.5281066894531
2021-04-27 04:00:00+00:00,114.93158197534504,114.97224624824679,113.37097889164538,113.6100082397461,44386000,0.0,0.0,4186.72021484375,,330.091796875
2021-04-28 04:00:00+00:00,118.6444052488308,120.57247005777245,116.69650771409113,116.98512268066406,81106000,0.0,0.0,4183.18017578125,,328.97589111328125
2021-04-29 04:00:00+00:00,118.48225123764739,119.22263014493893,117.71955010871437,118.65730285644531,41234000,0.0,0.0,4211.47021484375,,330.15972900390625
2021-04-30 04:00:00+00:00,117.43043490062821,118.1162643027293,116.36623251844566,116.71038818359375,44856000,0.0,0.0,4181.169921875,,327.99560546875
2021-05-03 04:00:00+00:00,117.2762012400106,118.10138178756102,115.8177582594562,116.19364929199219,28242000,0.0,0.0,4192.66015625,,326.2489929199219
2021-05-04 04:00:00+00:00,114.72926326113381,115.29657305551342,111.9090738290094,114.3960189819336,44818000,0.0,0.0,4164.66015625,,320.37774658203125
2021-05-05 04:00:00+00:00,115.47709216813345,115.79297809431026,114.46793099267961,114.7897720336914,26636000,0.0,0.0,4167.58984375,,319.30059814453125
2021-05-06 04:00:00+00:00,114.371219210084,115.90950775146484,113.71216888819075,115.90950775146484,25190000,0.0,0.0,4201.6201171875,,321.7072448730469
2021-05-07 04:00:00+00:00,117.22563540770174,117.59061507127338,116.34639717350244,116.63253021240234,28898000,0.0,0.0,4232.60009765625,,324.3177490234375
2021-05-10 04:00:00+00:00,115.45278230823058,115.59461543086714,113.29065197517465,113.64820098876953,30914000,0.0,0.0,4188.43017578125,,316.1272888183594
2021-05-11 04:00:00+00:00,111.23415327092532,113.07939883944981,110.78039927471382,112.57258605957031,34186000,0.0,0.0,4152.10009765625,,315.6906433105469
2021-05-12 04:00:00+00:00,110.39707540750636,111.47764498191353,108.78192267103177,109.11070251464844,46376000,0.0,0.0,4063.0400390625,,307.5196228027344
2021-05-13 04:00:00+00:00,110.39359947423983,111.05414048585153,109.43154957142508,110.53840637207031,33204000,0.0,0.0,4112.5,,309.8971862792969
2021-05-14 04:00:00+00:00,112.00131096781348,113.29957888960938,111.577809256897,112.98517608642578,31996000,0.0,0.0,4173.85009765625,,316.7386474609375
2021-05-17 04:00:00+00:00,112.25074645700623,113.55050506879931,111.85105006420112,113.50785827636719,21598000,0.0,0.0,4163.2900390625,,314.8171691894531
2021-05-18 04:00:00+00:00,114.17386326279856,114.43818107942103,112.1823199599926,112.19620513916016,22204000,0.0,0.0,4127.830078125,,312.69195556640625
2021-05-19 04:00:00+00:00,110.50815409240448,112.81706629241613,110.35988157512777,112.64399719238281,23684000,0.0,0.0,4115.68017578125,,313.051025390625
2021-05-20 04:00:00+00:00,113.61100662106799,114.65239495545593,113.24007185238473,114.40196990966797,32352000,0.0,0.0,4159.1201171875,,319.10650634765625
2021-05-21 04:00:00+00:00,114.92067995406296,114.99407844296304,113.52669887961433,113.76622009277344,40632000,0.0,0.0,4155.85986328125,,317.3403625488281
2021-05-24 04:00:00+00:00,114.79571714938808,117.30795076933327,114.65041840397706,117.08430480957031,31832000,0.0,0.0,4197.0498046875,,322.6777038574219
2021-05-25 04:00:00+00:00,117.62780399643341,118.22288412982375,116.78477317689254,117.175048828125,22440000,0.0,0.0,4188.1298828125,,323.1241149902344
2021-05-26 04:00:00+00:00,117.3560548531477,118.47034990255696,117.35308107918044,118.03990936279297,21572000,0.0,0.0,4195.990234375,,324.24981689453125
2021-05-27 04:00:00+00:00,118.47332287279623,118.47332287279623,116.84726630527486,117.16563415527344,35224000,0.0,0.0,4200.8798828125,,323.0367431640625
2021-05-28 04:00:00+00:00,117.74781887099097,117.82963927117555,116.67816071964592,116.87651824951172,21482000,0.0,0.0,4204.10986328125,,324.0556945800781
2021-06-01 04:00:00+00:00,117.74880281061728,118.30768309931028,116.74906245910415,118.08303833007812,23354000,0.0,0.0,4202.0400390625,,322.9786071777344
2021-06-02 04:00:00+00:00,118.478278661861,118.70094093106418,116.65385700275765,117.55789184570312,21158000,0.0,0.0,4208.1201171875,,323.609375
2021-06-03 04:00:00+00:00,116.3250761646754,116.88494774617168,115.52121891925472,116.41681671142578,18696000,0.0,0.0,4192.85009765625,,320.24188232421875
2021-06-04 04:00:00+00:00,117.49243481948021,118.96823639262553,117.15224415049533,118.69747161865234,24458000,0.0,0.0,4229.89013671875,,325.67633056640625
2021-06-07 04:00:00+00:00,118.49266700644799,119.23999231025896,118.07412912075807,119.1303939819336,24120000,0.0,0.0,4226.52001953125,,326.64678955078125
2021-06-08 04:00:00+00:00,119.61190790368995,119.98432577535812,118.757466274763,118.93896484375,24240000,0.0,0.0,4227.259765625,,326.8020935058594
2021-06-09 04:00:00+00:00,119.58314141281689,119.65504166013505,118.86259530140607,119.41007232666016,17942000,0.0,0.0,4219.5498046875,,326.87969970703125
2021-06-10 04:00:00+00:00,119.35950068179913,120.80158431684347,119.20378994220064,120.75843811035156,25904000,0.0,0.0,4239.18017578125,,330.285888671875
2021-06-11 04:00:00+00:00,120.99992773077977,121.08522130896714,119.95654936765875,120.51394653320312,21958000,0.0,0.0,4247.43994140625,,331.14959716796875
2021-06-14 04:00:00+00:00,120.61610768688743,121.44227956527116,119.90895486343989,121.44178771972656,22098000,0.0,0.0,4255.14990234375,,334.3228454589844
2021-06-15 04:00:00+00:00,121.44625717538425,121.76908949058003,120.06368677320248,120.42420959472656,21562000,0.0,0.0,4246.58984375,,332.1393737792969
2021-06-16 04:00:00+00:00,120.5754393849675,120.88686840654948,118.49067266185558,119.7824935913086,26472000,0.0,0.0,4223.7001953125,,330.92633056640625
2021-06-17 04:00:00+00:00,119.70812106140869,121.51815815207105,119.51223788888802,120.74554443359375,25842000,0.0,0.0,4221.85986328125,,335.1283264160156
2021-06-18 04:00:00+00:00,120.37212004101573,120.60618554839238,119.03120533837755,119.12641906738281,46116000,0.0,0.0,4166.4501953125,,332.49847412109375
2021-06-21 04:00:00+00:00,119.51273077628596,120.99993548875224,118.91566055698493,120.81397247314453,27414000,0.0,0.0,4224.7900390625,,334.56500244140625
2021-06-22 04:00:00+00:00,120.75198140176597,121.39665468442757,120.07160770069062,121.32772064208984,22390000,0.0,0.0,4246.43994140625,,337.6837158203125
2021-06-23 04:00:00+00:00,121.0926742086513,122.08645953120904,120.83580218507122,121.12590026855469,19148000,0.0,0.0,4241.83984375,,337.84881591796875
