Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,snp500,vix_close,qqq_close
2021-04-05 04:00:00+00:00,305.8716535011418,307.8958905965666,305.84417618138536,307.0257568359375,5632700,0.0,0.0,0.0,4077.909912109375,,321.2608642578125
2021-04-06 04:00:00+00:00,306.558674067592,307.2273262483894,305.72515793619294,306.26556396484375,2987500,0.0,0.0,0.0,4073.93994140625,,321.03778076171875
2021-04-07 04:00:00+00:00,306.0549137899142,306.9983392217144,305.4137389342171,306.26556396484375,2658500,0.0,0.0,0.0,4079.949951171875,,321.8139953613281
2021-04-08 04:00:00+00:00,306.201326072242,306.9798872615029,305.40445599061894,306.9615783691406,2665000,0.0,0.0,0.0,4097.169921875,,325.1716613769531
2021-04-09 04:00:00+00:00,307.5020138186741,309.663637330974,307.17225805683415,309.4621276855469,3034700,0.0,0.0,0.0,4128.7998046875,,327.1416931152344
2021-04-12 04:00:00+00:00,308.9126178737119,309.46216428759317,308.35387508291467,309.17822265625,2951500,0.0,0.0,0.0,4127.990234375,,326.71466064453125
2021-04-13 04:00:00+00:00,308.33547016425194,309.0590766538668,307.29127639803534,308.4820251464844,3391700,0.0,0.0,0.0,4141.58984375,,330.52838134765625
2021-04-14 04:00:00+00:00,308.5004893686842,310.6071588999217,308.43636629057664,309.15997314453125,3966800,0.0,0.0,0.0,4124.66015625,,326.55950927734375
2021-04-15 04:00:00+00:00,310.3506874179294,312.08184277199496,310.3506874179294,311.82537841796875,3881800,0.0,0.0,0.0,4170.419921875,,331.508544921875
2021-04-16 04:00:00+00:00,313.1099149730605,313.751272770799,312.4227279286683,313.22900390625,3748900,0.112,0.0,0.0,4185.47021484375,,331.89678955078125
2021-04-19 04:00:00+00:00,312.505334340189,312.72522535030777,311.20424728629314,312.2121276855469,3222800,0.0,0.0,0.0,4163.259765625,,328.859375
2021-04-20 04:00:00+00:00,310.9750748534092,311.3965417943263,308.5470192696143,309.8022766113281,3762900,0.0,0.0,0.0,4134.93994140625,,326.4623107910156
2021-04-21 04:00:00+00:00,309.3532016270914,312.9357391200699,309.2890574764792,312.7158203125,4191200,0.0,0.0,0.0,4173.419921875,,329.25726318359375
2021-04-22 04:00:00+00:00,312.55102511261646,312.6334842122492,308.8585407443544,309.8022766113281,4962500,0.0,0.0,0.0,4134.97998046875,,325.28814697265625
2021-04-23 04:00:00+00:00,309.4633417479366,312.9817373038906,308.89527139758206,311.91888427734375,3613900,0.0,0.0,0.0,4180.169921875,,329.38348388671875
2021-04-26 04:00:00+00:00,312.5784069808616,312.88078487347593,310.965827413175,311.4056091308594,2090900,0.0,0.0,0.0,4187.6201171875,,331.5279541015625
2021-04-27 04:00:00+00:00,311.15811610848885,311.91859035342395,310.3334977330291,311.36883544921875,2732700,0.0,0.0,0.0,4186.72021484375,,330.091796875
2021-04-28 04:00:00+00:00,310.8191470988609,311.05735281629256,309.74712350447066,310.0311584472656,3025100,0.0,0.0,0.0,4183.18017578125,,328.97576904296875
