month,kw_1_search,kw_2_search,kw_3_search
2025-12-07,25,87,23
2025-12-14,26,87,21
2025-12-21,34,84,22
2025-12-28,35,81,28
2026-01-04,25,79,25
2026-01-11,24,84,25
2026-01-18,25,83,26
2026-01-25,26,81,26
2026-02-01,23,88,22
2026-02-08,23,87,20
2026-02-15,26,90,21
2026-02-22,22,87,20
2026-03-01,19,90,18
2026-03-08,20,84,19
2026-03-15,21,84,19
2026-03-22,18,61,16
2026-03-29,21,63,18
