Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500,vix_close,qqq_close
2021-04-05 04:00:00+00:00,339.26544096452693,342.02825765175334,337.448063777942,339.7794494628906,2709400,0.0,0.0,4077.909912109375,,321.2608642578125
2021-04-06 04:00:00+00:00,338.49446310621283,339.421527248734,332.93213427381653,334.4466247558594,2698600,0.0,0.0,4073.93994140625,,321.03765869140625
2021-04-07 04:00:00+00:00,334.28146403401166,335.83267764928723,330.94037993607384,335.6123962402344,2158900,0.0,0.0,4079.949951171875,,321.81396484375
2021-04-08 04:00:00+00:00,333.2901032287213,336.77805053418297,333.2901032287213,334.9239501953125,2426700,0.0,0.0,4097.169921875,,325.1717224121094
2021-04-09 04:00:00+00:00,338.0998103400486,345.68145109178664,336.8606714775715,345.39691162109375,2483200,0.0,0.0,4128.7998046875,,327.1416931152344
2021-04-12 04:00:00+00:00,343.7263433072045,348.6369593373997,343.31328774795304,345.3785095214844,3057300,0.0,0.0,4127.990234375,,326.7146911621094
2021-04-13 04:00:00+00:00,345.3510041994469,348.1597038132893,343.58866914205294,343.7447204589844,2652300,0.0,0.0,4141.58984375,,330.5284729003906
2021-04-14 04:00:00+00:00,344.51569888983494,346.9664410198398,343.81810391428724,344.7818908691406,2805600,0.0,0.0,4124.66015625,,326.55950927734375
2021-04-15 04:00:00+00:00,348.7930951917425,360.1380361056796,348.7930951917425,357.9810485839844,4488300,0.0,0.0,4170.419921875,,331.508544921875
2021-04-16 04:00:00+00:00,361.56991921052764,361.56991921052764,353.80466393813015,358.8988952636719,4532400,0.0,0.0,4185.47021484375,,331.8968505859375
2021-04-19 04:00:00+00:00,357.9717537047302,361.0833677785402,356.56740409911225,357.82489013671875,2965400,0.0,0.0,4163.259765625,,328.85931396484375
2021-04-20 04:00:00+00:00,357.8432674362481,365.2046538359758,357.4394276047227,363.96551513671875,3348100,0.0,0.0,4134.93994140625,,326.4624328613281
2021-04-21 04:00:00+00:00,366.1042017115438,368.50906163409076,362.9650798162093,366.0583190917969,2473300,0.0,0.0,4173.419921875,,329.25726318359375
2021-04-22 04:00:00+00:00,365.71862975184234,366.0123568861831,360.89977924879946,363.97467041015625,2718600,0.0,0.0,4134.97998046875,,325.2881774902344
2021-04-23 04:00:00+00:00,363.1302466754651,368.977114697241,362.1022296181899,367.4350891113281,2263200,0.0,0.0,4180.169921875,,329.3834228515625
2021-04-26 04:00:00+00:00,366.97620939780114,367.15060817759496,362.7539718014851,363.3505859375,1642300,0.0,0.0,4187.6201171875,,331.5280456542969
2021-04-27 04:00:00+00:00,362.24909746968416,363.78193534628804,360.0828946351495,362.10223388671875,1758500,0.0,0.0,4186.72021484375,,330.091796875
2021-04-28 04:00:00+00:00,362.7263581216167,364.38771202314473,361.0007461548365,362.184814453125,1886500,0.0,0.0,4183.18017578125,,328.9758605957031
2021-04-29 04:00:00+00:00,364.1674770044665,369.1331918985189,363.75442140256155,368.5732727050781,1996500,0.0,0.0,4211.47021484375,,330.15972900390625
2021-04-30 04:00:00+00:00,368.0684420990156,368.8578023697827,365.63607520362683,366.0491027832031,2328100,0.0,0.0,4181.169921875,,327.9956359863281
2021-05-03 04:00:00+00:00,368.06848125086134,373.3646186401291,367.6370781698383,372.5660705566406,2568500,0.0,0.0,4192.66015625,,326.2489013671875
2021-05-04 04:00:00+00:00,372.1805230188955,378.5964699234012,370.3631177103522,377.55926513671875,3237200,0.0,0.0,4164.66015625,,320.3778076171875
2021-05-05 04:00:00+00:00,376.7882402269768,378.85346200654004,373.39208654048315,378.6239929199219,2767600,0.0,0.0,4167.58984375,,319.30059814453125
2021-05-06 04:00:00+00:00,379.0829870440942,382.61681710186343,378.67911915112813,380.8912048339844,3058700,0.0,0.0,4201.6201171875,,321.70733642578125
2021-05-07 04:00:00+00:00,380.91870735238723,384.6085604093961,380.06508902008414,383.35107421875,1851000,0.0,0.0,4232.60009765625,,324.31768798828125
2021-05-10 04:00:00+00:00,384.8379985064236,390.99696884428613,383.8742395651914,386.3249816894531,2489300,0.0,0.0,4188.43017578125,,316.1272888183594
2021-05-11 04:00:00+00:00,386.4260108493434,387.61007939085346,376.8892604615478,377.8897705078125,3024000,0.0,0.0,4152.10009765625,,315.6905822753906
2021-05-12 04:00:00+00:00,375.67761639939613,377.10950125406157,371.44619189079594,372.07952880859375,2888100,0.0,0.0,4063.0400390625,,307.51959228515625
2021-05-13 04:00:00+00:00,372.9148416986298,379.2481835795004,371.11581170602074,375.0075988769531,2637500,0.0,0.0,4112.5,,309.8971862792969
2021-05-14 04:00:00+00:00,377.23796593956524,378.7065735999049,374.9524629503335,376.14569091796875,2072900,0.0,0.0,4173.85009765625,,316.7386779785156
2021-05-17 04:00:00+00:00,375.69592647239546,378.6331416833957,375.01670700953775,375.07177734375,1583900,0.0,0.0,4163.2900390625,,314.8171691894531
2021-05-18 04:00:00+00:00,376.04479413048256,379.04623995080385,372.90564443756375,376.6781311035156,2694800,0.0,0.0,4127.830078125,,312.6920471191406
2021-05-19 04:00:00+00:00,375.86120411791865,376.99020219216936,371.0515406681941,375.8703918457031,2783100,0.0,0.0,4115.68017578125,,313.05108642578125
2021-05-20 04:00:00+00:00,375.8979195970251,379.84477689804703,374.7872970002684,375.0810241699219,2105800,0.0,0.0,4159.1201171875,,319.1065673828125
2021-05-21 04:00:00+00:00,377.0268915251939,384.2505737844399,375.8336354854178,377.825439453125,4295400,0.0,0.0,4155.85986328125,,317.3403625488281
2021-05-24 04:00:00+00:00,378.5046932876025,379.9090430840119,376.25591287460674,377.2013244628906,1883600,0.0,0.0,4197.0498046875,,322.6777038574219
2021-05-25 04:00:00+00:00,378.027440743275,379.8723534537905,375.3105341564049,379.1288757324219,2285600,0.0,0.0,4188.1298828125,,323.12408447265625
2021-05-26 04:00:00+00:00,378.25695775870776,381.1941461130124,377.2564756120633,379.2757873535156,1903900,0.0,0.0,4195.990234375,,324.24993896484375
2021-05-27 04:00:00+00:00,380.8453346821628,381.01970544898325,376.67816747452025,378.8076477050781,2041800,0.0,0.0,4200.8798828125,,323.03680419921875
2021-05-28 04:00:00+00:00,378.8075867307703,381.35009417565357,376.3476567859423,378.0916442871094,2367900,0.0,0.0,4204.10986328125,,324.0557556152344
2021-06-01 04:00:00+00:00,379.75295558711775,379.75295558711775,372.80462556789854,373.3186340332031,2199600,0.0,0.0,4202.0400390625,,322.9785461425781
2021-06-02 04:00:00+00:00,375.5399627931188,375.5399627931188,371.3268854777569,372.5201416015625,2232900,0.0,0.0,4208.1201171875,,323.6092834472656
2021-06-03 04:00:00+00:00,370.36318761331603,376.1091037751187,369.75738572946153,374.4569091796875,2281200,0.0,0.0,4192.85009765625,,320.2419738769531
2021-06-04 04:00:00+00:00,377.2104427703149,377.24716566611585,371.4186454604862,372.3273620605469,2990900,0.0,0.0,4229.89013671875,,325.6763610839844
2021-06-07 04:00:00+00:00,373.5389783068314,373.76844741076667,365.94815043274366,367.3800354003906,3353800,0.0,0.0,4226.52001953125,,326.64678955078125
2021-06-08 04:00:00+00:00,367.811395877271,369.6746836651723,366.0031784270328,368.74761962890625,3051300,0.0,0.0,4227.259765625,,326.8020324707031
2021-06-09 04:00:00+00:00,370.2070329739359,372.4558410965932,367.6369905577803,368.1601867675781,1925700,0.0,0.0,4219.5498046875,,326.87957763671875
2021-06-10 04:00:00+00:00,368.9037088912412,369.76651495190623,365.74621182058706,368.5181884765625,4033600,0.0,0.0,4239.18017578125,,330.2858581542969
2021-06-11 04:00:00+00:00,370.22540279326535,370.23456250833124,362.3591963583116,365.21380615234375,3094300,0.0,0.0,4247.43994140625,,331.1496276855469
2021-06-14 04:00:00+00:00,364.6722824495395,366.66408656218005,362.6805063482638,366.3795471191406,2674900,0.0,0.0,4255.14990234375,,334.3229064941406
2021-06-15 04:00:00+00:00,367.1138350867433,368.5273725781704,363.9104554319545,367.4075622558594,2845800,0.0,0.0,4246.58984375,,332.139404296875
2021-06-16 04:00:00+00:00,368.16026440209106,370.0418999951996,364.09407828891,364.6264343261719,3330800,0.0,0.0,4223.7001953125,,330.9264221191406
2021-06-17 04:00:00+00:00,363.479061915699,365.37907282571325,362.20320024786275,364.71820068359375,3532000,0.0,0.0,4221.85986328125,,335.1282958984375
2021-06-18 04:00:00+00:00,356.77713017760334,361.73339620859247,356.7494941560683,358.7025146484375,5521400,1.45,0.0,4166.4501953125,,332.49847412109375
2021-06-21 04:00:00+00:00,358.7025316805857,367.7583193910105,358.56435156634916,366.7173156738281,3839300,0.0,0.0,4224.7900390625,,334.5649719238281
2021-06-22 04:00:00+00:00,369.0572137098122,369.0940711089119,366.486979430256,367.2884521484375,3964600,0.0,0.0,4246.43994140625,,337.6836242675781
