Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,snp500,vix_close,qqq_close,close,log_ret,rv_5,snp500_change,vix_change,qqq_change,earnings_week
2021-04-12 04:00:00+00:00,55.10499954223633,55.79800033569336,54.95800018310547,55.27799987792969,29441000,0.0,0.0,4127.990234375,,326.71478271484375,55.27799987792969,-0.004566394354186878,0.1080392405505714,-0.00019607884876882142,0.0,-0.0013048777689239621,1
2021-04-13 04:00:00+00:00,55.70000076293945,55.974998474121094,55.029998779296875,55.37300109863281,27203000,0.0,0.0,4141.58984375,,330.5285339355469,55.37300109863281,0.001717133025596336,0.10637427726259244,0.0032944868090414303,0.0,0.011673029267340373,1
2021-04-14 04:00:00+00:00,55.48699951171875,55.48699951171875,53.85300064086914,54.00199890136719,37403000,0.0,0.0,4124.66015625,,326.5594787597656,54.00199890136719,-0.02507106760098958,0.2260514354905353,-0.004087726727828533,0.0,-0.01200820736570729,1
2021-04-15 04:00:00+00:00,54.41699981689453,55.3489990234375,54.26599884033203,54.922000885009766,31391000,0.0,0.0,4170.419921875,,331.5085754394531,54.922000885009766,0.016892950385454658,0.24082687250656637,0.01109419052516647,0.0,0.015155268799679655,1
2021-04-16 04:00:00+00:00,55.05400085449219,55.198001861572266,53.95100021362305,54.65399932861328,32091000,0.0,0.0,4185.47021484375,,331.8968200683594,54.65399932861328,-0.004891620250196146,0.23956517338187458,0.0036088195555097347,0.0,0.0011711450552722713,1
2021-04-19 04:00:00+00:00,54.689998626708984,55.64400100708008,54.553001403808594,55.444000244140625,42887000,0.0,0.0,4163.259765625,,328.8594665527344,55.444000244140625,0.014351114048062722,0.2685752529562109,-0.005306560094486046,0.0,-0.009151499297279875,1
2021-04-20 04:00:00+00:00,55.44200134277344,56.35599899291992,54.630001068115234,54.957000732421875,112576000,0.0,0.0,4134.93994140625,,326.46240234375,54.957000732421875,-0.008822432155867314,0.276129116904345,-0.006802319771775922,0.0,-0.0072890229802765605,0
2021-04-21 04:00:00+00:00,50.79999923706055,51.54600143432617,50.36000061035156,50.88999938964844,228974000,0.0,0.0,4173.419921875,,329.25732421875,50.88999938964844,-0.07688464599141735,0.6044698984350881,0.009306055472153574,0.0,0.008561236623067847,0
2021-04-22 04:00:00+00:00,51.38199996948242,51.395999908447266,50.05500030517578,50.87799835205078,90611000,0.0,0.0,4134.97998046875,,325.2881774902344,50.87799835205078,-0.00023585091422837978,0.5639964320009322,-0.009210657476561801,0.0,-0.012054847186569018,0
2021-04-23 04:00:00+00:00,50.9010009765625,50.970001220703125,50.06999969482422,50.55500030517578,73077000,0.0,0.0,4180.169921875,,329.3834228515625,50.55500030517578,-0.006368719113093986,0.5623747911629743,0.010928696540176919,0.0,0.012589591767290909,0
