Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,snp500,vix_close,qqq_close,close,log_ret,rv_5,snp500_change,vix_change,qqq_change,earnings_week
2021-04-12 04:00:00+00:00,308.9126178737119,309.46216428759317,308.35387508291467,309.17822265625,2951500,0.0,0.0,0.0,4127.990234375,,326.71466064453125,309.17822265625,-0.0009178355374674922,0.06554964278878683,-0.00019607884876882142,0.0,-0.0013053440747239353,0
2021-04-13 04:00:00+00:00,308.33547016425194,309.0590766538668,307.29127639803534,308.4820251464844,3391700,0.0,0.0,0.0,4141.58984375,,330.52838134765625,308.4820251464844,-0.002254306658315865,0.0647265655018429,0.0032944868090414303,0.0,0.011672940221297168,0
2021-04-14 04:00:00+00:00,308.5004893686842,310.6071588999217,308.43636629057664,309.15997314453125,3966800,0.0,0.0,0.0,4124.66015625,,326.55950927734375,309.15997314453125,0.0021952790522323158,0.06350983247751092,-0.004087726727828533,0.0,-0.012007658931224907,0
2021-04-15 04:00:00+00:00,310.3506874179294,312.08184277199496,310.3506874179294,311.82537841796875,3881800,0.0,0.0,0.0,4170.419921875,,331.508544921875,311.82537841796875,0.008584491197079975,0.07970184672064388,0.01109419052516647,0.0,0.015155080479766658,0
2021-04-16 04:00:00+00:00,313.1099149730605,313.751272770799,312.4227279286683,313.22900390625,3748900,0.112,0.0,0.0,4185.47021484375,,331.89678955078125,313.22900390625,0.004491218323895526,0.06889046495813952,0.0036088195555097347,0.0,0.0011711451630840308,0
2021-04-19 04:00:00+00:00,312.505334340189,312.72522535030777,311.20424728629314,312.2121276855469,3222800,0.0,0.0,0.0,4163.259765625,,328.859375,312.2121276855469,-0.0032517116810687487,0.0774719816026296,-0.005306560094486046,0.0,-0.009151684036752372,0
2021-04-20 04:00:00+00:00,310.9750748534092,311.3965417943263,308.5470192696143,309.8022766113281,3762900,0.0,0.0,0.0,4134.93994140625,,326.4623107910156,309.8022766113281,-0.007748576608309408,0.10215652022103122,-0.006802319771775922,0.0,-0.00728902500950257,0
2021-04-21 04:00:00+00:00,309.3532016270914,312.9357391200699,309.2890574764792,312.7158203125,4191200,0.0,0.0,0.0,4173.419921875,,329.25726318359375,312.7158203125,0.009360579200414129,0.11930794247929807,0.009306055472153574,0.0,0.008561332503608021,0
2021-04-22 04:00:00+00:00,312.55102511261646,312.6334842122492,308.8585407443544,309.8022766113281,4962500,0.0,0.0,0.0,4134.97998046875,,325.28814697265625,309.8022766113281,-0.009360579200414101,0.12738053645946115,-0.009210657476561801,0.0,-0.012054756735083272,0
2021-04-23 04:00:00+00:00,309.4633417479366,312.9817373038906,308.89527139758206,311.91888427734375,3613900,0.0,0.0,0.0,4180.169921875,,329.38348388671875,311.91888427734375,0.006808891112282254,0.1348638224026134,0.010928696540176919,0.0,0.012589874399594247,0
