month,kw_1_search,kw_2_search,kw_3_search
2025-12-07,82,65,26
2025-12-14,77,58,23
2025-12-21,52,40,14
2025-12-28,66,52,17
2026-01-04,70,65,21
2026-01-11,75,62,24
2026-01-18,75,59,24
2026-01-25,79,64,26
2026-02-01,86,69,26
2026-02-08,78,67,23
2026-02-15,87,65,26
2026-02-22,90,67,28
2026-03-01,100,71,25
2026-03-08,86,68,24
2026-03-15,81,65,24
2026-03-22,58,56,15
2026-03-29,54,57,15
2026-04-05,50,43,11
